query_id,answer
162,4219 2696 2865 1966 4308 4361 3470 2646 4408 4313
163,1951 4234 4433 4045 4308 4218 4214 4320 4361 4050
164,4400 4219 4234 2646 2696 4361 2831 2794 4367 4403
165,4219 2646 3078 1966 4440 3470 4384 4313 4361 4331
166,4234 4362 1909 4219 4400 4308 3467 4357 4236 4214
167,4219 4400 2865 4408 4234 2646 1966 2964 4308 2696
168,1951 4234 4219 2698 2646 4361 4045 4214 4362 4387
169,4219 4400 2865 1966 2646 4234 4308 2696 4361 3689
170,4219 4400 4387 4361 4234 1966 2646 4308 2696 1958
171,4440 2696 4219 4371 2894 2968 4375 4008 2886 2646
172,4219 2646 4361 4384 4308 4531 4207 4234 4408 4322
173,3643 3128 4440 2696 4433 2196 2148 3909 3932 2204
174,4234 1907 2831 4396 1909 4361 4045 4403 2964 4286
175,4451 4214 2698 4227 4447 4290 4276 4534 2267 2204
176,4219 4440 2646 4389 4361 4331 4234 2521 4400 4384
177,1951 4308 4361 4214 4234 2646 4362 4532 4451 4446
178,1951 4320 2902 4354 4308 2646 3861 4436 4451 4361
179,4423 4364 3028 4220 4372 4318 2909 4232 2914 2917
180,4219 4389 2646 4440 3565 4396 4384 4308 4387 4361
181,4219 2646 4440 4257 4285 4389 3565 4384 4308 4408
182,4219 2646 4234 1909 3055 3689 4361 4331 4257 3088
183,1951 4354 4320 4214 2919 4321 4328 4234 4436 3467
184,4219 2865 1966 2646 3844 4308 4406 4234 4400 4361
185,1951 4214 4320 4433 4045 4234 2232 4321 3128 4436
186,4440 2942 4302 3254 3993 4409 4388 4371 2923 4319
187,2831 4400 4219 2865 4403 1966 4532 4234 2646 4308
188,4219 4400 2865 2646 4361 4234 4408 3689 4308 3055
189,4219 2865 3689 4400 4234 3055 2646 4403 4308 4408
190,4204 2095 1951 3580 3844 4276 4373 4006 3579 4207
191,1951 4532 3643 3128 4234 4050 2646 4153 4045 4218
192,4396 1909 4219 4234 4308 1918 4361 4286 3419 4387
193,4400 4219 2646 4403 4234 4387 4407 4308 1966 2831
194,1951 3467 4328 4286 4234 4396 2408 4407 1907 4362
195,4219 4395 4214 2646 4424 4389 3026 2253 4222 4350
196,4219 4387 2646 2865 1966 4308 4504 4257 4407 1958
197,4219 2646 4384 4389 4361 3078 2171 4440 2962 3565
198,1951 4214 4234 4361 4320 4436 4286 4362 4532 3467
199,4219 4361 2646 4406 2865 4234 3844 4531 4308 4331
200,4219 4400 2646 1966 4308 2696 4403 4205 2865 4409
201,4400 4219 4387 2646 2696 3088 3689 1958 3055 4332
202,4219 2646 4308 4396 4389 2408 2943 4440 3127 1958
203,4219 4387 1958 2646 4407 4504 1966 4400 2865 4308
204,4234 1909 4328 4308 4362 4400 4045 4396 2964 3265
205,2646 4219 2943 3078 4384 4234 4361 4440 4403 4400
206,4219 4396 4308 1958 4400 1918 2646 4234 4403 3149
207,4219 4214 4395 2646 3026 4424 2943 2665 4331 4222
208,4219 4400 2646 4387 1958 4361 4234 4308 4403 4408
209,1951 4361 2646 4532 4446 4408 4234 4308 4286 4219
210,4234 4361 1909 2646 4384 4406 4219 4329 4331 4440
211,4219 2646 1966 2865 4400 4308 4234 4361 4408 4384
212,4328 4286 4234 4308 4396 2665 4366 4219 1951 4367
213,4219 2646 4440 3078 4384 4361 4531 3565 1966 4308
214,4219 4395 3567 4400 1966 2646 4214 2696 4403 4509
215,4234 1909 4328 4396 4408 4219 4308 4403 4400 1907
216,4440 2695 2794 2663 2968 4372 2222 2255 3128 2243
217,4214 4219 4366 4451 2646 2698 4308 4460 4227 2902
218,4219 4403 2646 4440 3078 2944 4361 4406 2521 4234
219,4219 2646 4308 1958 2171 4396 4408 2802 4387 1923
220,4440 4371 2220 4375 2696 3128 4202 4373 2663 2942
221,4219 4440 2646 4389 4257 3565 4384 4205 4285 4387
222,1951 4214 4234 4286 2698 4204 4396 4328 4153 4320
223,4219 2646 4257 4285 4308 4361 4018 4389 1958 4387
224,4400 4219 1966 2696 2865 4408 3078 4367 4308 2253
225,4371 4309 4372 2910 4364 4220 4423 3016 4440 4361
226,4371 2908 4423 4372 4364 4220 4354 2968 2911 2917
227,4396 4328 1907 4286 3436 1909 4234 4308 1901 1951
228,4219 2865 2646 4308 4400 1966 4234 4361 2696 4406
229,4219 2646 1966 2865 1958 4400 4384 4361 4389 4408
230,4219 4400 2865 2696 2646 3689 3055 3056 4234 4408
231,4234 4328 4396 4286 1951 4308 4446 4403 4532 1907
232,4219 4387 2646 4308 4234 3689 3055 2865 1958 4532
233,3643 4532 1951 3128 4361 2220 4153 4214 4050 2156
234,4219 4387 1958 4396 1909 4308 4403 3149 4234 4361
235,4219 4387 2646 4308 2865 3055 3689 1966 4234 4361
236,4219 4400 4403 2646 2865 1966 4234 4308 2521 4408
237,4396 1909 3265 1918 4234 4219 2646 4362 4361 1958
238,4234 1909 4328 4133 4046 4446 4396 1918 4045 4308
239,4364 4423 4232 4372 2914 4220 2693 4389 4371 4377
240,4328 4396 4286 4234 3436 1909 4308 4045 1907 4219
241,4328 4396 4234 1907 4286 4219 4433 4308 4400 2646
242,4234 4214 4396 4308 4362 4219 4249 4354 1901 4433
243,4406 3844 4219 4361 4440 4389 2646 4257 2511 3078
244,1951 4308 4234 4532 4403 3128 4219 2646 2244 3861
245,4219 4387 2646 4308 2865 4234 4285 1966 1958 4400
246,4219 2696 4400 2865 1966 3689 4409 3055 2646 4308
247,4219 2646 4387 4384 4361 1958 4440 3470 2521 2944
248,4440 2663 2968 4371 4375 4269 3993 2794 2253 2695
249,4219 3470 3078 2696 4313 1966 2865 2646 4384 3567
250,1951 4234 2646 4214 3128 4308 4361 4320 4219 4331
251,4219 4400 4308 4408 4234 2696 2646 1966 4384 3689
252,4371 4440 2696 3864 4375 3254 4361 2894 2886 4433
253,4234 1909 4329 4328 4396 4308 4362 4045 2964 4249
254,1951 4321 4436 4361 4422 4320 4229 4308 3861 4446
255,4219 1909 4308 2944 2521 3088 4234 2646 4400 3689
256,4219 2865 4400 4308 1966 2646 4408 2696 4403 4361
257,4220 4361 4369 4505 3860 4267 4186 3859 4219 4111
258,4234 4214 2665 4308 4361 4446 1909 4050 4153 4331
259,4219 4400 2865 1966 4308 4234 4403 4408 2646 4384
260,1951 4234 3467 4361 4320 4214 4050 4219 4218 4367
261,4219 4408 4400 3689 3055 4361 2865 1966 4234 4308
262,4286 4219 1951 2646 4396 4234 4328 2408 4408 1909
263,4518 4243 4162 4328 4530 3595 2923 4436 4307 4399
264,4309 2674 3016 3793 4523 2646 4219 2214 1889 3790
265,4219 1966 2646 4387 2865 4407 2866 4389 1958 4504
266,2698 4214 4451 4209 4445 4290 4219 3995 4447 4227
267,4219 1966 4400 4308 4234 2865 4408 4532 4361 4403
268,4234 1909 4328 4308 2196 4433 4362 4045 4400 3265
269,4214 4219 2698 4308 4451 4400 4366 4433 4361 2646
270,4219 4234 2646 4361 4389 4320 1951 4312 4319 4308
271,4328 4234 4396 4286 1909 1907 4308 4219 4531 4400
272,4219 2865 2646 1966 4384 4308 4234 2521 2696 4408
273,1951 4532 2962 3467 3861 4308 2646 4227 4366 2665
274,4396 1909 4219 4435 4400 4356 1901 4205 1958 4308
275,4219 2646 4234 4361 4384 4440 4233 1966 4313 4331
276,4219 2696 4400 4387 2646 2865 1966 4532 4308 4234
277,4451 4214 2698 4290 4227 3995 2405 2891 4383 4220
278,4328 4396 4286 1909 1907 3467 4234 1951 4362 4009
279,4328 4396 4286 1907 4234 1909 4360 2408 3419 3467
280,4219 4403 4408 2646 4234 2511 4400 3078 4358 4384
281,4219 4440 2943 4361 3595 4389 3128 2794 4302 3056
282,4219 4234 2646 4308 4361 4408 4400 4384 2865 4440
283,4234 4328 4308 4446 4219 4329 2196 2245 4400 3265
284,4008 4440 2663 3932 2204 2794 2968 2661 4287 3552
285,4214 2698 4234 2665 4308 1909 3467 4361 1951 2964
286,4234 4328 4308 1907 1909 4396 4286 1901 4361 4219
287,4224 4249 3734 2295 4296 2152 4081 4219 4276 4430
288,2962 4397 2646 4219 4227 4290 2902 2232 4214 3482
289,4219 2646 4408 4308 4234 4361 1909 1910 3689 4331
290,4219 4234 2646 4153 4308 4204 1951 4050 4045 4403
291,4219 2408 1958 4403 1966 4400 4407 2943 2646 4387
292,4219 1966 2865 4400 2646 4361 2696 4403 4308 4532
293,4219 2646 3565 4389 4384 4440 4308 4361 4313 4257
294,4219 4395 2646 4387 4389 1966 4424 4214 4308 4504
295,4219 4400 2865 1966 4308 2646 4234 4408 2964 2696
296,1951 4308 4219 2646 4320 4234 4214 2962 3861 1909
297,4219 4308 4234 2646 4396 4214 1909 4331 1910 2964
298,4219 1966 2865 2646 4406 4408 4361 4400 3844 2696
299,4219 2943 4384 4406 4361 3470 1966 2037 2646 3078
300,4234 4308 4408 4219 1909 1960 4396 4214 2646 1951
301,4219 2646 4331 4234 4361 2943 2521 4308 2865 4257
302,2670 4371 4016 4008 4112 2156 2155 2942 4375 4354
303,4328 4396 4286 4234 4308 1901 1907 1909 2944 3467
304,4219 2646 4234 4361 3015 4331 4381 4322 4384 4301
305,4234 4362 4214 1901 4045 4227 4050 2698 4433 2795
306,4234 4328 4219 4308 2646 1951 1899 3088 1909 1923
307,4307 3993 3784 4354 4371 4328 2670 4239 4134 4266
308,1951 4286 4328 4301 2962 3467 4234 4396 3778 4403
309,4440 2220 4375 2663 3588 4371 2204 3932 2238 2203
310,1951 3128 4250 4325 4454 2251 4234 4045 4532 4050
311,4219 2865 2646 1966 4400 4308 4384 4234 2696 4403
312,4234 4308 4362 3265 4219 4045 4214 2698 2196 4396
313,1951 4234 4045 4362 4050 4153 4204 4308 4214 4133
314,4308 4396 4219 4234 2646 1909 1901 4328 3088 4354
315,1951 4320 4234 2646 3128 4219 4045 4214 4308 2962
316,4400 4219 1966 4408 4387 4403 1958 2646 2943 4358
317,4234 1909 4308 4328 1901 4396 4045 4362 4286 2964
318,4219 2646 4387 1966 4504 4308 2865 4285 4509 4257
319,4234 4331 4133 4308 4446 4045 4219 4046 2964 1909
320,4219 4361 4233 4384 2646 4313 4333 3735 4234 4309
321,4328 4396 4286 1907 3467 1909 4234 1918 2408 3419
322,1909 4400 3843 4219 4234 2944 2521 2802 1907 4265
323,4219 1966 2696 2646 4400 2865 2894 2866 2886 4509
324,4219 2646 2865 1958 1966 4400 2521 4408 3689 4403
325,4219 4400 1966 4384 4387 4389 2646 2865 4361 2962
326,4328 3436 4234 4396 4286 4308 1907 1909 1951 3467
327,4219 2646 4234 4331 4361 4308 1909 2521 2408 4257
328,4234 1909 4308 4219 1910 2646 4331 4009 4531 4361
329,4219 4400 4408 1966 4234 1909 4308 4361 2646 2943
330,1951 4214 4234 4308 4286 2646 4320 4219 3467 2962
331,4219 2646 4440 4384 3078 3750 2696 4389 4361 2214
332,4214 4234 4308 4219 2698 4451 2665 4445 4366 4361
333,1951 4234 2232 4354 4361 4320 4308 4433 4214 4321
334,4214 4219 4308 2698 4400 2665 4445 2944 3843 2865
335,1951 1899 3128 3643 4308 1901 4219 1923 4009 2244
336,4234 4308 4328 4446 1909 4045 4396 4362 3088 3265
337,4219 2646 4361 4400 4331 1909 4234 3088 2944 4384
338,1951 4234 4219 2646 4308 4532 1909 4218 4214 4403
339,4214 4219 4308 4451 2698 4400 4234 4366 2962 4227
340,4375 4371 2695 2794 4433 2244 4440 4249 4296 2245
341,4219 4387 2646 3055 4308 3689 1966 1958 4384 4504
342,4045 4219 4153 4050 4234 4243 4046 4385 4518 4530
343,4219 2646 4440 4308 4361 2521 4408 4234 4387 4214
344,4219 2646 4234 4308 4446 4331 4050 4214 4045 4396
345,4219 2646 4361 4400 3078 4440 3470 2865 1966 4403
346,4445 4219 2157 2253 4291 3168 4418 4432 4234 2150
347,4219 4400 2646 4403 1966 4361 4234 4408 2865 4504
348,4219 4440 4387 1958 2521 2962 4214 4389 4395 4384
349,4219 4361 2646 4389 2943 4440 3078 4384 4257 4406
350,4219 2865 1966 2696 2646 3567 4400 2866 3470 4234
351,4219 1966 4400 4532 2646 4387 4403 4408 4308 2865
352,4214 4400 4234 4219 4308 2698 4445 4451 4209 4387
353,2062 4110 4205 3261 4411 2060 3150 4404 2857 4109
354,4234 1909 4354 4308 4396 4375 4296 4249 1899 2244
355,4219 2646 2962 4397 4308 4384 4387 1966 2865 4407
356,4234 1909 4362 4328 4308 4045 2964 2196 3265 4396
357,4219 4234 4361 4408 2646 4308 4403 2408 3564 4400
358,4234 4219 2646 4361 4214 4322 4010 1909 4204 4406
359,4219 4400 2646 2865 4408 4308 4403 4234 2831 4407
360,1951 4234 4361 4321 4320 4354 4436 4308 4214 4153
361,2665 4214 4454 4395 4424 4398 3553 4269 4363 2698
362,4219 4361 4400 4234 4308 4384 4366 2964 2646 4408
363,4219 2865 1966 2696 4532 2646 3844 4408 4308 4406
364,4328 1907 4396 1909 4286 4234 4308 4361 2831 4400
365,4287 2795 4008 2663 4440 3552 4515 4545 3780 4375
366,4219 2865 4234 2646 4308 4361 4400 4406 1966 4408
367,4219 4384 4440 4313 3470 3078 1966 4234 4361 2646
368,4234 4331 1910 2646 4219 1909 2698 4308 1951 4387
369,4328 4234 1909 4045 4153 4362 4050 4396 4361 4308
370,4234 1951 2646 4219 4214 4362 4045 4361 4006 2698
371,4445 2795 4451 2253 2663 4440 2968 4209 3552 2894
372,1909 4234 1918 4400 4361 4219 3088 4396 3419 1958
373,4234 4219 4308 3265 4214 4331 4446 4361 4424 2646
374,4219 4234 4400 2646 4308 2865 4361 4408 4387 2964
375,1951 4153 3128 3467 4050 4218 4532 4234 4361 4362
376,4219 2865 1966 2646 4400 4308 4234 2866 2696 2521
377,4219 2646 4331 4234 4361 2865 3565 4516 2831 4286
378,4234 4219 4308 3265 4214 2646 4328 4045 4362 4396
379,4219 4440 2646 2865 4389 2943 4384 4361 1966 3078
380,4219 4400 1966 2646 4403 2865 4361 2696 4407 4308
381,4219 4400 2865 4308 1966 2646 4408 4234 4361 4384
382,4286 4328 4396 1909 4234 3419 4408 4219 1907 2408
383,3862 4433 4551 4440 2917 4266 4249 4321 4296 4435
384,4234 4219 2646 4334 4045 4361 4153 3467 4050 4331
385,1951 4532 2646 3467 4320 4361 4153 3128 4045 4301
386,4219 3078 3470 2646 4400 2696 2865 1966 4440 4313
387,1951 4308 4328 3467 4153 4396 4050 4532 2646 1909
388,4219 4440 2646 4361 4389 2944 3565 4397 2943 2521
389,4234 1951 4219 2698 2646 4214 4362 4331 4308 4361
390,4371 4364 4372 1909 2794 4307 2908 4423 4234 4387
391,4234 1909 4396 4045 4362 4361 4328 4408 4286 4214
392,4234 1909 4308 4396 2196 4362 4219 2646 4400 4331
393,4219 2646 4396 4408 4308 4234 2962 4257 4440 4331
394,1951 2911 4321 4367 4431 3467 1901 4436 4045 2948
395,4440 4371 3128 4276 4373 2220 4337 2696 4439 4207
396,4219 4384 4395 2646 4214 4205 4409 4440 2962 4302
397,1951 4361 4234 4219 2646 4403 4308 4387 4331 4214
398,4454 4395 4424 1842 4329 4214 4523 4520 4526 4528
399,4219 2865 2696 2646 1966 4361 2866 4384 4407 4400
400,4219 4395 4214 4389 2646 4424 2064 4440 4384 3026
401,4400 4219 4308 2646 4408 1966 2865 4403 3689 2831
402,4451 4214 2698 4227 4290 4447 4440 4209 4445 4278
403,4219 2865 1966 2696 2646 3844 2866 4361 4308 4406
404,4219 2865 1966 2696 3567 3470 2646 4509 4400 4308
405,4286 4328 4234 4354 4396 1909 4308 4249 4296 4243
406,4219 2696 4400 4361 2646 4387 3689 4234 3055 4308
407,4328 4234 4396 4286 1909 3436 1899 4308 4045 4214
408,4234 4361 2646 1909 4219 4406 4331 4531 1966 2943
409,1909 4234 4354 4286 4308 1901 4396 4243 1899 4328
410,4234 4219 4361 4331 4308 4400 4408 4358 4403 1909
411,4400 4219 2646 4403 4361 4234 4408 4331 4407 3088
412,4219 4214 4395 2646 3026 4424 4389 4222 1958 4350
413,4328 4234 1909 4400 4134 4396 1910 4433 4308 4045
414,2663 4440 4372 2968 2794 2253 4371 2908 4364 3536
415,4234 1909 4328 2964 4050 4400 4045 4331 4361 4153
416,4219 2646 3689 2521 3055 4400 2944 4408 1958 4384
417,4411 4451 2062 4110 3147 4219 4404 4214 4205 4419
418,4234 1909 4219 4308 4328 3861 4361 1951 4396 4517
419,4219 4400 4384 3078 2696 4313 3127 3470 1966 3209
420,4219 2646 4384 4361 4440 1966 3470 4389 3078 4313
421,4219 4400 2646 4308 2865 4234 1966 4361 2696 4408
422,4308 4219 4234 4400 1958 3088 4387 4396 2646 4408
423,4219 2646 2962 4440 4397 4308 4389 4407 1958 4384
424,4219 2646 4234 4361 4400 4408 2865 4308 4331 1958
425,1951 2943 4532 2646 3128 4361 1901 4214 4331 1958
426,4219 4440 2962 2646 4397 4384 4257 3078 4308 4205
427,1951 4532 4234 4286 2646 4446 4396 4385 4319 4217
428,4234 2646 4308 4331 4219 4214 4400 4362 4153 1909
429,4328 1951 4396 1907 4234 4286 1909 4308 3467 4532
430,4219 4387 2646 4308 4400 2865 1966 4234 4408 4384
431,4219 2865 1966 2646 3844 2696 4406 4361 4308 2866
432,1951 4308 4234 2646 4219 1909 4214 4361 4532 2944
433,1951 4234 2646 4361 4009 1923 4219 4408 4308 1909
434,4396 4219 1909 2408 4358 4407 1958 2511 2646 1901
435,4219 4234 2646 4361 4400 2865 4308 4403 1966 4408
436,4408 4400 4308 4219 4234 1960 4387 4396 2964 1909
437,4219 2646 2962 2865 4397 1966 4308 4387 4384 3567
